City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Upernavik,GL,2022-11-09 01:51:48,72.7868,-56.1549,258.28,67,59,2.94
96,Guerrero Negro,MX,2022-11-09 01:54:51,27.9769,-114.0611,292.52,72,0,4.56
97,Banjar,ID,2022-11-09 01:54:52,-8.19,114.9675,303.58,66,96,0.86
98,Salinopolis,BR,2022-11-09 01:54:52,-0.6136,-47.3561,298.19,86,99,2.1
99,Abadan,IR,2022-11-09 01:54:53,30.3392,48.3043,295.12,56,75,2.06
100,La Sarre,CA,2022-11-09 01:54:53,48.8002,-79.1996,271.38,65,97,2.33
101,Lorengau,PG,2022-11-09 01:54:53,-2.0226,147.2712,302.05,72,100,2.24
102,Chuy,UY,2022-11-09 01:54:54,-33.6971,-53.4616,286.58,88,0,2.8
103,Bethel,US,2022-11-09 01:54:54,41.3712,-73.414,281.84,45,0,0.45
104,Arraial Do Cabo,BR,2022-11-09 01:54:54,-22.9661,-42.0278,293.13,94,100,2.06
105,Acarau,BR,2022-11-09 01:54:55,-2.8856,-40.12,298.59,79,95,5.42
106,Tiznit,MA,2022-11-09 01:54:55,29.5833,-9.5,290.73,43,1,0.18
107,Balsas,BR,2022-11-09 01:54:55,-7.5325,-46.0356,296.93,87,100,1.33
108,Bauchi,NG,2022-11-09 01:54:56,10.5,10.0,293.79,34,92,2.3
109,Saint-Philippe,RE,2022-11-09 01:54:56,-21.3585,55.7679,292.92,77,26,2.58
110,New Norfolk,AU,2022-11-09 01:54:56,-42.7826,147.0587,299.75,31,99,0.89
111,Sitka,US,2022-11-09 01:54:57,57.0531,-135.33,273.86,52,99,1.48
112,San Luis,AR,2022-11-09 01:54:57,-33.295,-66.3356,295.46,36,100,5.08
113,Kapaa,US,2022-11-09 01:54:57,22.0752,-159.319,301.14,72,47,3.58
114,Broken Hill,AU,2022-11-09 01:54:58,-31.95,141.4333,301.47,28,100,7.44
115,Kurilsk,RU,2022-11-09 01:54:58,45.2333,147.8833,279.81,63,39,6.43
116,Namibe,AO,2022-11-09 01:54:59,-15.1961,12.1522,291.45,83,1,4.48
117,Kodiak,US,2022-11-09 01:54:59,57.79,-152.4072,277.88,93,100,10.29
118,Lebu,CL,2022-11-09 01:54:59,-37.6167,-73.65,286.18,90,58,3.32
119,Gondanglegi,ID,2022-11-09 01:55:00,-7.7479,112.0132,299.0,84,100,0.88
120,Barrow,US,2022-11-09 01:50:33,71.2906,-156.7887,270.16,86,0,10.8
121,Kieta,PG,2022-11-09 01:55:00,-6.2167,155.6333,300.72,85,100,4.64
122,Naze,JP,2022-11-09 01:55:00,28.3667,129.4833,296.66,70,99,7.18
123,Labuhan,ID,2022-11-09 01:55:01,-6.8844,112.2051,302.88,65,94,0.58
124,La Paz,BO,2022-11-09 01:51:44,-16.5,-68.15,280.14,70,20,2.57
125,Romanovka,RU,2022-11-09 01:55:02,51.7443,42.7527,274.94,87,100,3.68
126,Lokosovo,RU,2022-11-09 01:55:02,61.1333,74.8167,269.87,96,100,3.0
127,Kudahuvadhoo,MV,2022-11-09 01:55:02,2.6708,72.8944,300.35,77,100,6.41
128,Cockburn Town,TC,2022-11-09 01:55:03,21.4612,-71.1419,300.13,74,40,4.12
129,Port Alfred,ZA,2022-11-09 01:55:03,-33.5906,26.891,291.03,94,100,0.89
130,Provideniya,RU,2022-11-09 01:55:03,64.3833,-173.3,272.24,69,100,8.05
131,Bredasdorp,ZA,2022-11-09 01:55:04,-34.5322,20.0403,286.14,80,12,3.24
132,Felipe Carrillo Puerto,MX,2022-11-09 01:55:04,19.5833,-88.05,294.78,97,9,1.25
133,Seymchan,RU,2022-11-09 01:55:05,62.8833,152.4333,255.43,95,100,2.66
134,Tasiilaq,GL,2022-11-09 01:56:05,65.6145,-37.6368,271.95,97,100,3.32
135,Boa Vista,BR,2022-11-09 01:55:11,2.8197,-60.6733,296.14,94,75,2.06
136,Spirit River,CA,2022-11-09 01:56:06,55.7833,-118.8361,251.39,97,7,2.31
137,Pacific Grove,US,2022-11-09 01:56:06,36.6177,-121.9166,284.14,87,100,4.47
138,Pundaguitan,PH,2022-11-09 01:56:06,6.3711,126.1689,301.44,73,100,1.42
139,Rawson,AR,2022-11-09 01:56:07,-43.3002,-65.1023,294.2,48,50,6.67
140,Gazimurskiy Zavod,RU,2022-11-09 01:56:07,51.5461,118.3266,268.32,64,10,1.58
141,Kenai,US,2022-11-09 01:56:07,60.5544,-151.2583,274.34,88,100,5.72
142,Touros,BR,2022-11-09 01:56:08,-5.1989,-35.4608,298.69,80,51,5.0
143,Cayenne,GF,2022-11-09 01:56:08,4.9333,-52.3333,297.17,94,100,0.0
144,Esperance,AU,2022-11-09 01:56:09,-33.8667,121.9,289.35,71,100,4.91
145,Peleduy,RU,2022-11-09 01:56:09,59.6289,112.7406,265.23,92,100,4.89
146,Kankon,IN,2022-11-09 01:56:09,15.0167,74.0167,297.36,57,87,3.1
147,Georgetown,MY,2022-11-09 01:54:43,5.4112,100.3354,301.11,88,20,1.54
148,Murfreesboro,US,2022-11-09 01:55:05,35.8456,-86.3903,292.36,60,0,0.0
149,Murmashi,RU,2022-11-09 01:56:10,68.8154,32.8115,271.38,100,100,0.0
150,Ballarat,AU,2022-11-09 01:56:10,-37.5662,143.8496,297.36,52,30,2.68
151,Puerto Colombia,CO,2022-11-09 01:56:11,10.9878,-74.9547,299.83,82,100,3.61
