City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
108,Airai,TL,-8.9266,125.4092,295.16,70,80,0.36,broken clouds
109,Payakumbuh,ID,-0.2202,100.6308,297.23,78,92,1.71,overcast clouds
110,Gilbues,BR,-9.8317,-45.3439,298.51,62,86,1.35,overcast clouds
111,Butaritari,KI,3.0707,172.7902,300.54,75,68,5.05,light rain
112,Yellowknife,CA,62.456,-114.3525,270.44,100,100,4.63,light snow
113,Poum,NC,-20.2333,164.0167,299.53,80,97,2.27,overcast clouds
114,Hermanus,ZA,-34.4187,19.2345,289.15,75,2,2.23,clear sky
115,Filingue,NE,14.3521,3.3168,296.15,13,19,5.01,few clouds
116,Ubeda,ES,38.0133,-3.3705,286.81,85,100,4.71,overcast clouds
117,Kourou,GF,5.1552,-52.6478,299.18,79,100,5.15,overcast clouds
118,Dakar,SN,14.6937,-17.4441,299.64,46,5,8.63,clear sky
119,Dikson,RU,73.5069,80.5464,247.42,92,100,4.11,overcast clouds
120,Mutsu,JP,41.2894,141.2169,279.21,59,100,1.91,overcast clouds
121,Port Macquarie,AU,-31.4333,152.9167,298.09,40,0,3.75,clear sky
122,Sitka,US,57.0531,-135.33,278.99,94,100,3.35,light rain
123,Mnogovershinnyy,RU,53.9353,139.9242,262.0,86,85,3.6,overcast clouds
124,Bulawayo,ZW,-20.15,28.5833,292.64,64,96,2.47,overcast clouds
125,Madang,PG,-5.2246,145.7966,302.7,67,90,1.4,overcast clouds
126,Jasper,US,37.2001,-94.3502,282.1,74,0,3.11,clear sky
127,Nanortalik,GL,60.1432,-45.2371,273.06,81,100,3.56,overcast clouds
128,Kulhudhuffushi,MV,6.6221,73.07,300.01,71,90,3.33,overcast clouds
129,Aswan,EG,24.0934,32.907,294.74,36,2,5.18,clear sky
130,Coquimbo,CL,-29.9533,-71.3436,289.0,77,40,2.06,scattered clouds
131,Natal,BR,-5.795,-35.2094,299.51,69,20,4.63,few clouds
132,Tual,ID,-5.6667,132.75,302.25,68,81,0.3,broken clouds
133,Half Moon Bay,US,37.4636,-122.4286,290.3,62,0,6.17,clear sky
134,Mitsamiouli,KM,-11.3847,43.2844,298.75,77,0,4.4,clear sky
135,Scarborough,GB,54.2797,-0.4044,278.1,91,12,0.45,few clouds
136,Morehead,US,37.2711,-87.1764,277.59,64,0,0.0,clear sky
137,Takoradi,GH,4.8845,-1.7554,299.28,82,84,2.7,broken clouds
138,Urumqi,CN,43.801,87.6005,271.68,100,20,1.0,mist
139,Port Augusta,AU,-32.5,137.7667,293.26,48,0,2.9,clear sky
140,Romny,UA,50.751,33.4747,272.48,92,100,4.68,overcast clouds
141,Guntakal,IN,15.1667,77.3833,293.64,94,85,1.15,overcast clouds
142,Flinders,AU,-34.5833,150.8552,297.14,50,3,5.36,clear sky
143,Haines Junction,CA,60.7522,-137.5108,269.12,93,100,1.54,overcast clouds
144,Geraldton,AU,-28.7667,114.6,295.38,64,40,3.6,scattered clouds
145,Saint-Georges,GD,12.0564,-61.7485,297.97,88,75,9.26,light rain
146,Karwar,IN,14.8,74.1333,297.24,74,98,1.26,overcast clouds
147,Castro,BR,-24.7911,-50.0119,288.59,95,100,1.22,overcast clouds
148,Lahaina,US,20.8783,-156.6825,300.34,79,5,4.06,clear sky
149,Awash,ET,8.9833,40.1667,292.39,52,5,0.42,clear sky
150,Waipawa,NZ,-41.4122,175.5153,291.89,41,9,5.37,clear sky
151,Arraial Do Cabo,BR,-22.9661,-42.0278,296.36,88,100,10.64,overcast clouds
152,Bandar,ID,2.05,99.75,297.83,83,100,0.27,overcast clouds
153,Linxia,CN,35.6003,103.2064,276.89,45,100,0.97,overcast clouds
154,Severo-Kurilsk,RU,50.6789,156.125,274.61,66,81,12.44,light snow
155,Muros,ES,42.7762,-9.0603,290.42,94,100,11.3,overcast clouds
156,Norman Wells,CA,65.282,-126.8329,266.17,86,100,6.17,light snow
157,Mount Isa,AU,-20.7333,139.5,303.02,15,23,5.66,few clouds
158,Duki,PK,30.1541,68.5728,284.02,21,3,1.82,clear sky
159,Posse,BR,-14.0931,-46.3694,293.13,87,100,1.64,overcast clouds
160,Richards Bay,ZA,-28.783,32.0377,295.44,85,100,4.47,overcast clouds
161,Shwebo,MM,22.5667,95.7,292.33,74,0,2.38,clear sky
162,Naze,JP,28.3667,129.4833,293.66,88,100,5.79,moderate rain
163,Nelson Bay,AU,-32.7167,152.15,297.09,43,0,3.58,clear sky
164,Nguruka,TZ,-5.1092,31.0419,289.51,96,74,1.56,broken clouds
165,Wanning,CN,18.8003,110.3967,299.15,88,28,1.63,scattered clouds
166,Nouadhibou,MR,20.931,-17.0347,294.14,64,0,7.72,clear sky
167,Klaksvik,FO,62.2266,-6.589,277.66,92,100,12.3,moderate rain
168,Nantucket,US,41.2835,-70.0995,282.21,71,0,5.66,clear sky
169,San Andres,CO,12.5847,-81.7006,301.16,83,40,4.12,scattered clouds
170,Ternate,ID,0.8,127.4,301.88,71,100,1.44,overcast clouds
171,Bredasdorp,ZA,-34.5322,20.0403,288.15,82,5,1.43,clear sky
172,Inca,ES,39.7211,2.9109,290.89,73,94,5.6,overcast clouds
173,Tuktoyaktuk,CA,69.4541,-133.0374,265.15,93,100,4.12,overcast clouds
174,Charqueada,BR,-22.5097,-47.7781,293.49,84,100,1.85,overcast clouds
175,Los Llanos De Aridane,ES,28.6585,-17.9182,292.01,82,100,3.6,overcast clouds
176,Bathsheba,BB,13.2167,-59.5167,299.74,79,100,8.21,overcast clouds
177,Stoughton,US,42.1251,-71.1023,277.94,74,13,1.34,few clouds
178,Kamen-Na-Obi,RU,53.7884,81.3423,256.65,89,100,5.2,overcast clouds
179,Andros Town,BS,24.7,-77.7667,299.13,77,7,6.31,clear sky
180,Pangkalanbuun,ID,-2.6833,111.6167,301.74,72,100,0.42,overcast clouds
181,Lompoc,US,34.6391,-120.4579,291.23,71,0,4.63,clear sky
182,Eyl,SO,7.9803,49.8164,297.14,71,61,6.7,broken clouds
183,Hoquiam,US,46.9809,-123.8893,283.87,94,22,6.49,few clouds
184,Dawei,MM,14.0833,98.2,298.57,89,100,1.06,overcast clouds
185,Bonavista,CA,48.6499,-53.1147,273.06,73,72,10.49,broken clouds
186,Lebu,CL,-37.6167,-73.65,286.69,93,90,5.8,overcast clouds
187,Tasiilaq,GL,65.6145,-37.6368,276.24,77,100,13.12,overcast clouds
